ID,Date/Time,Categoria,Publicacion,Hora,Lat,Lon
71.0,7/24/2016,Robo,Lunes,6:00,18.82591902877696,-97.24327474820146
72.0,7/29/2016,Robo,Sábado,3:00,18.816412,-97.234309
73.0,7/30/2016,Secuestro,Domingo,9:00,18.82591902877696,-97.24327474820146
74.0,7/31/2016,Ejecución,Lunes,7:00,18.82591902877696,-97.24327474820146
75.0,7/31/2016,Robo,Lunes,3:00,18.82591902877696,-97.24327474820146
76.0,8/6/2016,Robo,Lunes,17:00,18.847148999999998,-97.073018
77.0,8/2/2016,Robo,Miércoles,12:30,18.82591902877696,-97.24327474820146
78.0,8/2/2016,Robo,Jueves,11:00,18.82591902877696,-97.24327474820146
79.0,8/5/2016,Robo,Sábado,11:20,18.847148999999998,-97.073018
80.0,8/17/2016,Ejecución,Jueves,3:00,18.82591902877696,-97.24327474820146
81.0,8/17/2016,Robo,Viernes,3:00,18.82591902877696,-97.24327474820146
82.0,8/19/2016,Enfrentamiento,Sábado,0:45,18.82591902877696,-97.24327474820146
83.0,8/21/2016,Robo,Lunes,3:00,18.82591902877696,-97.24327474820146
84.0,8/22/2016,Robo,Martes,0:00,18.82591902877696,-97.24327474820146
85.0,8/26/2016,Enfrentamiento,Sábado,1:30,18.829573,-97.2559
86.0,8/26/2016,Robo,Domingo,20:30,18.816412,-97.234309
87.0,8/27/2016,Robo,Domingo,7:00,18.82591902877696,-97.24327474820146
88.0,8/26/2016,Robo,Domingo,3:00,18.82591902877696,-97.24327474820146
89.0,8/29/2016,Enfrentamiento,Martes,12:30,18.855254000000002,-97.35754
90.0,9/2/2016,Robo,Domingo,19:30,18.82591902877696,-97.24327474820146
91.0,9/3/2016,Asalto,Martes,2:00,18.82591902877696,-97.24327474820146
92.0,9/6/2016,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
93.0,9/12/2016,Robo,Martes,14:00,18.82591902877696,-97.24327474820146
94.0,9/12/2016,Robo,Martes,17:00,18.82591902877696,-97.24327474820146
95.0,9/13/2016,Robo,Miércoles,3:00,18.82591902877696,-97.24327474820146
96.0,9/13/2016,Robo,Jueves,9:00,18.82591902877696,-97.24327474820146
97.0,9/21/2016,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
98.0,9/21/2016,Robo,Jueves,6:45,18.82591902877696,-97.24327474820146
99.0,9/22/2016,Toma clandestina,Jueves,3:00,18.816412,-97.234309
100.0,9/25/2016,Robo,Lunes,3:00,18.82591902877696,-97.24327474820146
101.0,9/23/2016,Robo,Lunes,9:00,18.82591902877696,-97.24327474820146
102.0,9/27/2016,Robo,Jueves,17:00,18.82591902877696,-97.24327474820146
103.0,9/29/2016,Secuestro,Viernes,3:00,18.82591902877696,-97.24327474820146
104.0,9/28/2016,Robo,Viernes,11:00,18.82591902877696,-97.24327474820146
105.0,10/7/2016,Robo,Lunes,21:00,18.829573,-97.2559
106.0,10/10/2016,Robo,Miércoles,18:00,18.82591902877696,-97.24327474820146
107.0,10/12/2016,Robo,Jueves,16:00,18.82591902877696,-97.24327474820146
108.0,10/10/2016,Robo,Sábado,21:00,18.816412,-97.234309
109.0,10/10/2016,Robo,Sábado,17:00,18.82591902877696,-97.24327474820146
110.0,10/17/2016,Enfrentamiento,Martes,13:00,18.82591902877696,-97.24327474820146
111.0,10/19/2016,Toma clandestina,Jueves,3:00,18.82591902877696,-97.24327474820146
112.0,10/19/2016,Robo,Jueves,3:00,18.82591902877696,-97.24327474820146
113.0,10/19/2016,Robo,Domingo,21:00,18.82591902877696,-97.24327474820146
114.0,10/25/2016,Robo,Miércoles,14:20,18.82591902877696,-97.24327474820146
115.0,10/26/2016,Ejecución,Jueves,20:00,18.82591902877696,-97.24327474820146
116.0,10/29/2016,Robo,Domingo,13:30,18.82591902877696,-97.24327474820146
